selector_id,eval_month,train_start_month,train_end_month,actual_month_return_pct,actual_month_orders,candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage
monthly_oracle_best_return_min10,2023-01,LEAKY_MONTH,LEAKY_MONTH,127.43281359094584,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2023-02,LEAKY_MONTH,LEAKY_MONTH,22.83171087788638,10,23,1,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2023-03,LEAKY_MONTH,LEAKY_MONTH,47.18127121024824,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2023-04,LEAKY_MONTH,LEAKY_MONTH,11.349513146813006,18,116,8,8.0,0.04,0.04,0.25
monthly_oracle_best_return_min10,2023-05,LEAKY_MONTH,LEAKY_MONTH,15.21855913039003,10,23,1,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2023-06,LEAKY_MONTH,LEAKY_MONTH,43.76114022878932,10,80,4,8.0,0.02,,
monthly_oracle_best_return_min10,2023-07,LEAKY_MONTH,LEAKY_MONTH,4.877842859712067,12,56,2,8.0,0.04,0.04,0.25
monthly_oracle_best_return_min10,2023-08,LEAKY_MONTH,LEAKY_MONTH,94.95137327425536,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2023-09,LEAKY_MONTH,LEAKY_MONTH,-38.284753747488686,40,60,4,4.0,0.02,,
monthly_oracle_best_return_min10,2023-10,LEAKY_MONTH,LEAKY_MONTH,14.830454594137452,138,27,1,8.0,0.04,0.04,1.0
monthly_oracle_best_return_min10,2023-11,LEAKY_MONTH,LEAKY_MONTH,12.564411323183776,12,146,12,8.0,0.04,0.04,0.25
monthly_oracle_best_return_min10,2023-12,LEAKY_MONTH,LEAKY_MONTH,71.28481108057719,10,80,4,8.0,0.02,,
monthly_oracle_best_return_min10,2024-01,LEAKY_MONTH,LEAKY_MONTH,53.09942039628641,12,50,2,8.0,0.02,,
monthly_oracle_best_return_min10,2024-02,LEAKY_MONTH,LEAKY_MONTH,54.33078612018358,10,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2024-03,LEAKY_MONTH,LEAKY_MONTH,31.466745704646005,10,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2024-04,LEAKY_MONTH,LEAKY_MONTH,48.66404511618505,26,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2024-05,LEAKY_MONTH,LEAKY_MONTH,102.99673951158304,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2024-06,LEAKY_MONTH,LEAKY_MONTH,21.43541207254087,12,146,12,8.0,0.04,0.04,0.25
monthly_oracle_best_return_min10,2024-07,LEAKY_MONTH,LEAKY_MONTH,113.46989933621292,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2024-08,LEAKY_MONTH,LEAKY_MONTH,44.55565131351369,12,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2024-09,LEAKY_MONTH,LEAKY_MONTH,9.98490980723985,12,147,12,8.0,0.04,0.04,1.0
monthly_oracle_best_return_min10,2024-10,LEAKY_MONTH,LEAKY_MONTH,16.92621044257241,10,23,1,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2024-11,LEAKY_MONTH,LEAKY_MONTH,336.0637397621901,12,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2024-12,LEAKY_MONTH,LEAKY_MONTH,14.948124749492608,12,117,8,8.0,0.04,0.04,1.0
monthly_oracle_best_return_min10,2025-01,LEAKY_MONTH,LEAKY_MONTH,37.53455773365317,10,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2025-02,LEAKY_MONTH,LEAKY_MONTH,18.927354505720608,12,20,1,8.0,0.02,,
monthly_oracle_best_return_min10,2025-03,LEAKY_MONTH,LEAKY_MONTH,32.60561657984693,10,50,2,8.0,0.02,,
monthly_oracle_best_return_min10,2025-04,LEAKY_MONTH,LEAKY_MONTH,14.438123399824798,32,55,2,8.0,0.04,,
monthly_oracle_best_return_min10,2025-05,LEAKY_MONTH,LEAKY_MONTH,31.90114431035136,10,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2025-06,LEAKY_MONTH,LEAKY_MONTH,12.656861827993836,10,143,12,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2025-07,LEAKY_MONTH,LEAKY_MONTH,30.411814877075315,10,140,12,8.0,0.02,,
monthly_oracle_best_return_min10,2025-08,LEAKY_MONTH,LEAKY_MONTH,9.716933270099704,10,143,12,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2025-09,LEAKY_MONTH,LEAKY_MONTH,4.223342225285731,32,146,12,8.0,0.04,0.04,0.25
monthly_oracle_best_return_min10,2025-10,LEAKY_MONTH,LEAKY_MONTH,30.055320302587557,10,50,2,8.0,0.02,,
monthly_oracle_best_return_min10,2025-11,LEAKY_MONTH,LEAKY_MONTH,34.22948932962151,10,80,4,8.0,0.02,,
monthly_oracle_best_return_min10,2025-12,LEAKY_MONTH,LEAKY_MONTH,86.69326226364942,10,20,1,8.0,0.02,,
monthly_oracle_best_return_min10,2026-01,LEAKY_MONTH,LEAKY_MONTH,8.99039725468569,10,113,8,8.0,0.02,0.08,0.25
monthly_oracle_best_return_min10,2026-02,LEAKY_MONTH,LEAKY_MONTH,59.66448067151386,10,110,8,8.0,0.02,,
monthly_oracle_best_return_min10,2026-03,LEAKY_MONTH,LEAKY_MONTH,25.912323112849123,12,29,1,8.0,0.04,0.08,1.0
monthly_oracle_best_return_min10,2026-04,LEAKY_MONTH,LEAKY_MONTH,13.980580230024398,14,85,4,8.0,0.04,,
monthly_oracle_best_return_min10,2026-05,LEAKY_MONTH,LEAKY_MONTH,8.870474097394855,10,103,8,6.0,0.02,0.08,0.25
